"","REF_DATE","Type.of.crop","GEO","Average.farm.price..dollars.per.tonne.","Average.yield..kilograms.per.hectare.","Production..metric.tonnes.","Seeded.area..acres.","Seeded.area..hectares.","Total.farm.value..dollars."
"1",1908,"Barley","AB",15,1585,84000,129800,53000,1296
"2",1908,"Barley","BC",0,0,0,0,0,0
"3",1908,"Barley","MB",18,1390,372000,662500,268000,6705
"4",1908,"Barley","NB",32,1215,1700,3500,1400,55
"5",1908,"Barley","NL",NA,NA,0,NA,NA,NA
"6",1908,"Barley","NS",33,1550,6050,9600,3900,202
"7",1908,"Barley","ON",24,1530,459900,743800,301000,11217
"8",1908,"Barley","PE",28,1665,4000,5900,2400,112
"9",1908,"Barley","QC",21,1065,47200,109600,44400,1012
"10",1908,"Barley","SK",18,1275,42000,81000,33000,754
"11",1908,"Beans, all dry (white and coloured)","AB",NA,NA,0,NA,NA,NA
"12",1908,"Beans, all dry (white and coloured)","BC",NA,NA,0,NA,NA,NA
"13",1908,"Beans, all dry (white and coloured)","MB",NA,NA,0,NA,NA,NA
"14",1908,"Beans, all dry (white and coloured)","NB",77,1125,900,2000,800,69
"15",1908,"Beans, all dry (white and coloured)","NL",NA,NA,0,NA,NA,NA
"16",1908,"Beans, all dry (white and coloured)","NS",81,1200,1500,3100,1250,121
"17",1908,"Beans, all dry (white and coloured)","ON",56,1410,24400,42800,17300,1355
"18",1908,"Beans, all dry (white and coloured)","PE",NA,NA,0,NA,NA,NA
"19",1908,"Beans, all dry (white and coloured)","QC",63,1445,7000,12000,4850,441
"20",1908,"Beans, all dry (white and coloured)","SK",NA,NA,0,NA,NA,NA
"21",1908,"Buckwheat","AB",NA,NA,0,NA,NA,NA
"22",1908,"Buckwheat","BC",NA,NA,0,NA,NA,NA
"23",1908,"Buckwheat","MB",NA,NA,0,NA,NA,NA
"24",1908,"Buckwheat","NB",27,1375,34250,61700,24950,909
"25",1908,"Buckwheat","NL",NA,NA,0,NA,NA,NA
"26",1908,"Buckwheat","NS",30,1340,9800,18000,7300,295
"27",1908,"Buckwheat","ON",25,1345,63300,116300,47100,1570
"28",1908,"Buckwheat","PE",25,1500,2400,3900,1600,60
"29",1908,"Buckwheat","QC",31,1240,45950,91400,37000,1435
"30",1908,"Buckwheat","SK",NA,NA,0,NA,NA,NA
"31",1908,"Canola (rapeseed)","AB",NA,NA,0,NA,NA,NA
"32",1908,"Canola (rapeseed)","BC",NA,NA,0,NA,NA,NA
"33",1908,"Canola (rapeseed)","MB",NA,NA,0,NA,NA,NA
"34",1908,"Canola (rapeseed)","NB",NA,NA,0,NA,NA,NA
"35",1908,"Canola (rapeseed)","NL",NA,NA,0,NA,NA,NA
"36",1908,"Canola (rapeseed)","NS",NA,NA,0,NA,NA,NA
"37",1908,"Canola (rapeseed)","ON",NA,NA,0,NA,NA,NA
"38",1908,"Canola (rapeseed)","PE",NA,NA,0,NA,NA,NA
"39",1908,"Canola (rapeseed)","QC",NA,NA,0,NA,NA,NA
"40",1908,"Canola (rapeseed)","SK",NA,NA,0,NA,NA,NA
"41",1908,"Corn for grain","AB",NA,NA,0,NA,NA,NA
"42",1908,"Corn for grain","BC",NA,NA,0,NA,NA,NA
"43",1908,"Corn for grain","MB",NA,NA,0,NA,NA,NA
"44",1908,"Corn for grain","NB",NA,NA,0,NA,NA,NA
"45",1908,"Corn for grain","NL",NA,NA,0,NA,NA,NA
"46",1908,"Corn for grain","NS",NA,NA,0,NA,NA,NA
"47",1908,"Corn for grain","ON",20,4120,552000,332200,134000,10871
"48",1908,"Corn for grain","PE",NA,NA,0,NA,NA,NA
"49",1908,"Corn for grain","QC",34,2105,28600,33600,13600,963
"50",1908,"Corn for grain","SK",NA,NA,0,NA,NA,NA
"51",1908,"Corn for silage","AB",NA,NA,0,NA,NA,NA
"52",1908,"Corn for silage","BC",NA,NA,0,NA,NA,NA
"53",1908,"Corn for silage","MB",NA,NA,0,NA,NA,NA
"54",1908,"Corn for silage","NB",0.39,22860,8000,900,350,31
"55",1908,"Corn for silage","NL",NA,NA,0,NA,NA,NA
"56",1908,"Corn for silage","NS",0.33,16920,11000,1600,650,36
"57",1908,"Corn for silage","ON",0.43,26060,2241000,212400,86000,9708
"58",1908,"Corn for silage","PE",0.44,1667,5000,800,300,22
"59",1908,"Corn for silage","QC",0.5,22470,400000,44100,17800,2015
"60",1908,"Corn for silage","SK",NA,NA,0,NA,NA,NA
"61",1908,"Flaxseed","AB",29,950,1900,5900,2000,56
"62",1908,"Flaxseed","BC",NA,NA,0,NA,NA,NA
"63",1908,"Flaxseed","MB",38,790,7100,23400,9000,273
"64",1908,"Flaxseed","NB",NA,NA,0,NA,NA,NA
"65",1908,"Flaxseed","NL",NA,NA,0,NA,NA,NA
"66",1908,"Flaxseed","NS",NA,NA,0,NA,NA,NA
"67",1908,"Flaxseed","ON",NA,NA,0,NA,NA,NA
"68",1908,"Flaxseed","PE",NA,NA,0,NA,NA,NA
"69",1908,"Flaxseed","QC",NA,NA,0,NA,NA,NA
"70",1908,"Flaxseed","SK",39,645,29100,110000,45000,1128
"71",1908,"Lentils","AB",NA,NA,0,NA,NA,NA
"72",1908,"Lentils","BC",NA,NA,0,NA,NA,NA
"73",1908,"Lentils","MB",NA,NA,0,NA,NA,NA
"74",1908,"Lentils","NB",NA,NA,0,NA,NA,NA
"75",1908,"Lentils","NL",NA,NA,0,NA,NA,NA
"76",1908,"Lentils","NS",NA,NA,0,NA,NA,NA
"77",1908,"Lentils","ON",NA,NA,0,NA,NA,NA
"78",1908,"Lentils","PE",NA,NA,0,NA,NA,NA
"79",1908,"Lentils","QC",NA,NA,0,NA,NA,NA
"80",1908,"Lentils","SK",NA,NA,0,NA,NA,NA
"81",1908,"Mixed grains","AB",NA,NA,0,NA,NA,NA
"82",1908,"Mixed grains","BC",NA,NA,0,NA,NA,NA
"83",1908,"Mixed grains","MB",NA,NA,0,NA,NA,NA
"84",1908,"Mixed grains","NB",27,1440,3100,5300,2150,85
"85",1908,"Mixed grains","NL",NA,NA,0,NA,NA,NA
"86",1908,"Mixed grains","NS",30,1785,5350,7400,3000,161
"87",1908,"Mixed grains","ON",24,1770,301600,421000,170400,7315
"88",1908,"Mixed grains","PE",25,2035,12400,15000,6100,310
"89",1908,"Mixed grains","QC",34,1230,66300,133200,53900,2269
"90",1908,"Mixed grains","SK",NA,NA,0,NA,NA,NA
"91",1908,"Mustard seed","AB",NA,NA,0,NA,NA,NA
"92",1908,"Mustard seed","BC",NA,NA,0,NA,NA,NA
"93",1908,"Mustard seed","MB",NA,NA,0,NA,NA,NA
"94",1908,"Mustard seed","NB",NA,NA,0,NA,NA,NA
"95",1908,"Mustard seed","NL",NA,NA,0,NA,NA,NA
"96",1908,"Mustard seed","NS",NA,NA,0,NA,NA,NA
"97",1908,"Mustard seed","ON",NA,NA,0,NA,NA,NA
"98",1908,"Mustard seed","PE",NA,NA,0,NA,NA,NA
"99",1908,"Mustard seed","QC",NA,NA,0,NA,NA,NA
"100",1908,"Mustard seed","SK",NA,NA,0,NA,NA,NA
"101",1908,"Oats","AB",18,1675,352000,519400,210000,6316
"102",1908,"Oats","BC",0,0,0,0,0,0
"103",1908,"Oats","MB",21,1290,690000,1322800,535000,14263
"104",1908,"Oats","NB",33,945,78000,203900,82500,2539
"105",1908,"Oats","NL",NA,NA,0,NA,NA,NA
"106",1908,"Oats","NS",34,1210,65450,133900,54200,2224
"107",1908,"Oats","ON",26,1275,1601100,3108400,1257900,41425
"108",1908,"Oats","PE",26,1285,78000,150100,60750,2023
"109",1908,"Oats","QC",35,875,547100,1542500,624200,19229
"110",1908,"Oats","SK",19,1195,450000,930100,376000,8470
"111",1908,"Peas, dry","AB",NA,NA,0,NA,NA,NA
"112",1908,"Peas, dry","BC",NA,NA,0,NA,NA,NA
"113",1908,"Peas, dry","MB",15,1415,850,1600,600,13
"114",1908,"Peas, dry","NB",43,590,650,2700,1100,28
"115",1908,"Peas, dry","NL",NA,NA,0,NA,NA,NA
"116",1908,"Peas, dry","NS",45,915,550,1500,600,25
"117",1908,"Peas, dry","ON",30,1195,171300,354600,143500,5123
"118",1908,"Peas, dry","PE",35,1600,400,600,250,14
"119",1908,"Peas, dry","QC",42,875,18350,51900,21000,767
"120",1908,"Peas, dry","SK",NA,NA,0,NA,NA,NA
"121",1908,"Rye, all","AB",23,1665,5000,6500,3000,117
"122",1908,"Rye, all","BC",NA,NA,0,NA,NA,NA
"123",1908,"Rye, all","MB",20,1000,3000,6300,3000,61
"124",1908,"Rye, all","NB",29,1260,102,200,81,3
"125",1908,"Rye, all","NL",NA,NA,0,NA,NA,NA
"126",1908,"Rye, all","NS",27,1000,300,700,300,8
"127",1908,"Rye, all","ON",28,1020,26200,63400,25700,745
"128",1908,"Rye, all","PE",NA,NA,0,NA,NA,NA
"129",1908,"Rye, all","QC",34,1010,8300,20200,8200,283
"130",1908,"Rye, all","SK",45,1000,1000,3000,1000,45
"131",1908,"Rye, fall remaining","AB",NA,NA,0,NA,NA,NA
"132",1908,"Rye, fall remaining","BC",NA,NA,0,NA,NA,NA
"133",1908,"Rye, fall remaining","MB",NA,NA,0,NA,NA,NA
"134",1908,"Rye, fall remaining","NB",NA,NA,0,NA,NA,NA
"135",1908,"Rye, fall remaining","NL",NA,NA,0,NA,NA,NA
"136",1908,"Rye, fall remaining","NS",NA,NA,0,NA,NA,NA
"137",1908,"Rye, fall remaining","ON",NA,NA,0,NA,NA,NA
"138",1908,"Rye, fall remaining","PE",NA,NA,0,NA,NA,NA
